id,name,category,short_desc,description,phone,email,website,hours,address,featured,accent_color,tags,icon
1,"Queens Grill Restaurant & Bar",restaurant,"Family-friendly Caribbean fusion restaurant offering premium grilled dishes, handcrafted cocktails, and a vibrant tropical dining experience in Grenada..","Experience the true taste of Grenada at Queens Grill Restaurant & Bar. Luxury Caribbean fusion restaurant in Grenada featuring premium grilled meats, fresh seafood, signature cocktails, and an elegant tropical dining atmosphere.",+1-473-414-9803,queensgrillgrenada@gmail.com,https://exit473.com/bizsite/index.php?biz=queens-grill,"Wed - Mon 8am to midnight closed only on Tuesdays","Unit 1, Exit 473, St. George's",false,#8a7114,"Caribbean Fusion|Premium Grilled Meats|Fresh Seafood|Signature Cocktails|Elegant Tropical dining atmosphere Vegetarian options",👸🏾
2,"Tropical Squeeze",snack-bar,"Fresh made smoothies and fast casual foods","Enjoy the finest blends of local fruits, herbs and spices from a master artisan at the top of his game.",+14734049846,salsablu.chefs@gmail.com,https://exit473.com/bizsite/index.php?biz=tropical-squeeze,"Mon-Sat 10:00 am to 10:00 pm","Unit 2, Exit 473, St. George's",false,#01894e,"Local Fruits|Snack Bar|Herbs|Spices|Master Artisan",🍹
3,"Madras Dosa Corner Restaurant",restaurant,"Authentic south Indian cuisine, friendly family style service","Madras Dosa Corner has been delighting customers with authentic South Indian cuisine. Enjoy delightful dosas, biryani and many other South Indian vegetarian and non-vegetarian dishes.",+14734048203,salsablu.chefs@gmail.com,https://exit473.com/bizsite/index.php?biz=madras-dosa,"Mon-Sat 11:00 am to 10:30 pm (Reservations recommended)","Unit 4, Exit 473, St. George's",false,#d4e114,"Dosas|South Indian vegetarian|Non-vegetarian dishes|Friendly Family",🥻
4,"Champions Restaurant & Bar",restaurant,"A name that speaks for itself","The newest upstart at Exit 473, Champions promises service in keeping with then name and a unique menu with delicious Haitian influences.",,,https://exit473.com/bizsite/index.php?biz=champions,"Mon-Sat 10:00 am to 10:30 pm (Reservations recommended)","Unit 4, Exit 473, St. George's",false,#1565c0,"Unique Menu|Haitian",🐟
5,"Taste Jamaica Jerk",restaurant,"Bold Caribbean BBQ & wood-fired jerk","Taste Jamaica Jerk brings the fire! Our wood-fired grills and secret jerk seasoning recipe create bold smoky flavours that bring customers back again and again. Perfect for a quick casual meal or a full feast. Jerk chicken, ribs, fresh catch of the day, and all the island sides you could want.",+14734572166,salsablu.chefs@gmail.com,https://exit473.com/bizsite/index.php?biz=taste-jamaica,"Mon-Sat 10:00 am to 10:30 pm (Reservations recommended)","Unit 5, Exit 473, St. George's",true,#f5e10a,"Bold Caribbean BBQ|Jerk|Casual|Wood-fired jerk|Fresh catch of the day",🔥
6,"Soo Delicious Restaurant & Bar",restaurant,"Traditional Grenadian recipes with warmth & soul","Soo Delicious honours the deep food traditions of the Caribbean with warmth, generosity, and soulful flavour. The oil down is legendary and sells out fast! Family-friendly atmosphere, generous portions, and genuinely welcoming service that feels like home.",,,https://exit473.com/bizsite/index.php?biz=soo-delicious,"Mon-Sat 7:00 am to 10:30 pm (Reservations recommended)","Unit 6, Exit 473, St. George's",false,#e12114,"Traditional Grenadian|Welcoming Service|Oil Down|Family-friendly",☕
7,"Bamboo Junction",restaurant,"Caribbean fusion cuisine in a tropical setting","Bamboo Junction blends Caribbean culinary traditions with global influences creating exciting fusion dishes that celebrate Grenada's diverse heritage. Lush tropical décor and live music on Friday and Saturday nights make every visit an event. Creative cocktails, fresh juices, and a menu that changes with the season.",,,https://exit473.com/bizsite/index.php?biz=bamboo-junction,"Mon-Sat 10:00 am to 10:30 pm (Reservations recommended)","Unit 7, Exit 473, St. George's",false,#e65100,"Fusion|Caribbean|Live Music|Tropical Décor|Cocktails",🎍
9,"Josh Roti Shop",snack-bar,"Guyanese street food","Tasty Caribbean curried snacks with true Guyanese roots",,,https://exit473.com/bizsite/index.php?biz=josh-roti,"Mon-Sat 10:00 am to 10:30 pm (Reservations recommended)","Unit 9, Exit 473, St. George's",false,#37474f,"Snack Bar|Guyanese Street Food|Curried Snacks",🍹
10,"Fade Kingz Distributionz",retail,"Your trusted source for electronics, tools, cell phones, laptops, tablets, dash cams, accessories, and more.","Great prices on power tools and electronic gift items with a friendly customer service at its core.",+14734494488,fadekingzdistributionz@gmail.com,https://exit473.com/bizsite/index.php?biz=fade-king,"Mon-Sat 11:00 am to 6:00 pm","Unit 10, Exit 473, St. George's",true,#ff04ff,"Powering Your Future Piece by Piece.",
11,"Expressions Barbershop",barbershop,"Premium cuts & grooming for the modern gentleman","Expressions is combines old-school craftsmanship with contemporary style. Kendel delivers precision fades, classic hot towel shaves, beard sculpting, and bespoke styling. Walk-ins always welcome — appointments preferred to reduce your wait. Complimentary refreshments while you wait.",,,https://exit473.com/bizsite/index.php?biz=expression-barbershop,"Mon-Sat 10:00 am to 10:30 pm (Reservations recommended)|Closed Wednesday",,false,#0a0a0a,"Barbershop|Haircut|Precision Fade|Beard Grooming|Hot Shave",🪮
